Zone;Élément;Produit;Année;Unité;Valeur
Afghanistan;Production;Viande de Volailles;2017;Milliers de tonnes;28
Afghanistan;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;29
Afghanistan;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Afghanistan;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;57
Afghanistan;Pertes;Viande de Volailles;2017;Milliers de tonnes;2
Afghanistan;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Afghanistan;Nourriture;Viande de Volailles;2017;Milliers de tonnes;55
Afghanistan;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;1.53
Afghanistan;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;5
Afghanistan;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;0.54
Afghanistan;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;0.33
Afrique du Sud;Production;Viande de Volailles;2017;Milliers de tonnes;1667
Afrique du Sud;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;514
Afrique du Sud;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Afrique du Sud;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;63
Afrique du Sud;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;2118
Afrique du Sud;Pertes;Viande de Volailles;2017;Milliers de tonnes;83
Afrique du Sud;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;0
Afrique du Sud;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Afrique du Sud;Nourriture;Viande de Volailles;2017;Milliers de tonnes;2035
Afrique du Sud;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;35.69
Afrique du Sud;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;143
Afrique du Sud;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;14.11
Afrique du Sud;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;9.25
Albanie;Production;Viande de Volailles;2017;Milliers de tonnes;13
Albanie;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;38
Albanie;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;4
Albanie;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Albanie;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;47
Albanie;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Albanie;Nourriture;Viande de Volailles;2017;Milliers de tonnes;47
Albanie;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;16.36
Albanie;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;85
Albanie;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;6.26
Albanie;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;6.45
Algérie;Production;Viande de Volailles;2017;Milliers de tonnes;275
Algérie;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
Algérie;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Algérie;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Algérie;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;277
Algérie;Pertes;Viande de Volailles;2017;Milliers de tonnes;13
Algérie;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;0
Algérie;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Algérie;Nourriture;Viande de Volailles;2017;Milliers de tonnes;264
Algérie;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;6.38
Algérie;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;22
Algérie;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;1.97
Algérie;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;1.5
Allemagne;Production;Viande de Volailles;2017;Milliers de tonnes;1514
Allemagne;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;842
Allemagne;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;-29
Allemagne;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;646
Allemagne;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;1739
Allemagne;Traitement;Viande de Volailles;2017;Milliers de tonnes;167
Allemagne;Résidus;Viande de Volailles;2017;Milliers de tonnes;-38
Allemagne;Nourriture;Viande de Volailles;2017;Milliers de tonnes;1609
Allemagne;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;19.47
Allemagne;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;71
Allemagne;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;7.96
Allemagne;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;4.16
Angola;Production;Viande de Volailles;2017;Milliers de tonnes;42
